id, iso_4217_code, description, symbol, thousands_separator, decimal_separator, decimal_places, symbol_position, created_at, updated_at, created_by, updated_by
'1', 'AFN', 'AFGHANI', '؋', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'2', 'MGA', 'ARIARY', 'Ar', '.', ',', '2', 'DERECHA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'3', 'THB', 'BAHT', '฿', ',', '.', '2', 'DERECHA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'4', 'PAB', 'BALBOA', 'B/.', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'5', 'BYN', 'BELARUSIAN RUBLE', 'Br', '.', ',', '2', 'DERECHA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'6', 'ETB', 'BIRR', 'Br', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'7', 'VES', 'BOLIVAR SOBERANO', 'Bs.S', '.', ',', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'8', 'BOB', 'BOLIVIANO', 'Bs.', '.', ',', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'9', 'GHS', 'CEDI', '₵', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'10', 'CRC', 'COLON', '₡', '.', ',', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'11', 'NIO', 'CORDOBA', 'C$', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'12', 'GMD', 'DALASI', 'D', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'13', 'MKD', 'DENAR', 'ден', '.', ',', '2', 'DERECHA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'14', 'BHD', 'DINAR', '.د.ب', ',', '.', '3', 'DERECHA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'15', 'DZD', 'DINAR', 'د.ج', ',', '.', '2', 'DERECHA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'16', 'IQD', 'DINAR', 'ع.د', ',', '.', '3', 'DERECHA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
